Filename,Loops,Embellishments,Diacritics,Retouching,Word_Spacing_px,T_Crossing,Pen_Lifts,Tremors
WhatsApp Image 2025-11-10 at 10.55.23_cde93d35.jpg,47,0.7435,28,0.1176,53.83,225,203,0.1632
WhatsApp Image 2025-11-10 at 10.55.23_cde93d35.jpg,47,0.7435,28,0.1176,53.83,217,203,0.1632
WhatsApp Image 2025-11-10 at 10.55.26_c987fee1.jpg,151,0.6506,62,0.6135,36.9,3,543,0.1885
WhatsApp Image 2025-11-10 at 10.55.26_c987fee1.jpg,151,0.6506,62,0.6135,36.9,55,543,0.1885
WhatsApp Image 2025-11-10 at 10.55.26_c987fee1.jpg,151,0.6506,62,0.6135,36.9,55,543,0.1885
WhatsApp Image 2025-11-10 at 10.55.23_677949ab.jpg,189,0.6764,120,0.5118,54.89,102,634,0.1734
WhatsApp Image 2025-11-10 at 10.55.26_c987fee1.jpg,151,0.6506,62,0.6135,36.9,55,543,0.1885
WhatsApp Image 2025-11-10 at 10.55.23_677949ab.jpg,189,0.6764,120,0.5118,54.89,102,634,0.1734
WhatsApp Image 2025-10-25 at 12.54.13_e26596cb.jpg,60,0.6767,13,0.7831,58.22,10,119,0.1164
WhatsApp Image 2025-11-10 at 10.55.23_cde93d35.jpg,189,0.6764,120,0.5118,54.89,102,634,0.1734
WhatsApp Image 2025-10-05 at 16.37.05_2b226da0.jpg,185,0.6127,109,0.6056,55.02,70,386,0.1563
WhatsApp Image 2025-10-12 at 23.06.45_00396560.jpg,155,0.6782,49,0.6529,43.33,36,452,0.1748
WhatsApp Image 2025-11-14 at 17.31.52_03264cd5.jpg,274,0.6844,99,0.7022,60.22,14,758,0.1302
mirdula_handwriting .jpg,119,0.663,0,0.5054,48.83,45,468,0.1815
WhatsApp Image 2025-10-05 at 16.37.05_2b226da0.jpg,185,0.6127,109,0.6056,55.02,70,386,0.1563
WhatsApp Image 2025-10-12 at 23.06.45_00396560.jpg,155,0.6782,49,0.6529,43.33,36,452,0.1748
WhatsApp Image 2025-11-12 at 15.34.41_74185a3f.jpg,332,0.6002,14,0.5821,57.07,70,718,0.1562
WhatsApp Image 2025-11-12 at 15.34.41_627fb498.jpg,265,0.5926,0,0.5822,46.45,34,832,0.1572
WhatsApp Image 2025-10-05 at 16.37.05_2b226da0.jpg,150,0.6127,109,0.6056,55.02,70,386,0.1563
097 (1).png,68,0.7175,45,0.9699,52.97,34,509,0.1435
097 (1).png,68,0.7175,45,0.9699,52.97,34,509,0.1435
097 (1).png,68,0.7175,45,0.9699,52.97,34,509,0.1435
097 (1).png,68,0.7175,45,0.9699,52.97,45.04,34,509
098.png,175,0.5491,38,0.928,39.53,53.62,49,344
097 (1).png,68,0.7175,45,0.9699,52.97,45.04,34,509
098.png,175,0.5491,38,0.928,39.53,53.62,49,344
097 (1).png,68,0.7175,45,0.9699,52.97,45.04,34,509
099.png,81,0.6127,91,0.8561,45.89,31.77,95,287
100.png,84,0.6519,53,0.9687,45.06,70.05,169,399
101.png,118,0.6696,21,1.0231,65.99,69.49,53,509
103.png,91,0.713,38,1.0793,64.56,66.45,57,382
104.png,156,0.6047,105,1.1514,40.21,55.61,9,518
100.png,84,0.6519,53,0.9687,45.06,70.05,169,399
104.png,156,0.6047,247,1.1514,40.21,55.61,1,3.78
103.png,91,0.713,38,1.0793,64.56,66.45,57,382
